nome,area,idh
Anil,350.04,0.911
Curicica,333.96,0.828
Freguesia (Jacarepagua),1039.61,0.898
Gardenia Azul,123.63,0.768
Jacarepagua,7579.64,0.769
Pechincha,283.09,0.9
Praca Seca,650.0,0.845
Tanque,556.8,0.831
Taquara,1320.66,0.876
Vila Valqueire,423.22,0.904
Barra Da Tijuca,4815.06,0.972
Camorim,885.99,0.746
Grumari,2533.0,0.894
Joa,168.97,0.972
Recreio Dos Bandeirantes,3065.56,0.894
Vargem Grande,3938.04,0.746
Vargem Pequena,1443.83,0.746
Cidade De Deus,120.58,0.751
Caju,534.75,0.753
Gamboa,111.29,0.792
Santo Cristo,168.47,0.792
Saude,36.38,0.792
Centro,572.31,0.894
Lapa,40.0,0.894
Catumbi,53.95,0.802
Cidade Nova,93.48,0.867
Estacio,98.04,0.829
Rio Comprido,334.25,0.849
Santa Teresa,515.71,0.878
Benfica,173.64,0.825
Mangueira,79.81,0.8
Sao Cristovao,410.56,0.833
Vasco Da Gama,100.31,0.833
Paqueta,170.57,0.822
Abolicao,61.63,0.857
Agua Santa,242.62,0.877
Cachambi,225.02,0.9
Encantado,106.01,0.877
Engenho De Dentro,392.04,0.857
Engenho Novo,264.48,0.858
Jacare,84.26,0.839
Lins De Vasconcelos,266.92,0.859
Meier,247.09,0.931
Piedade,388.71,0.85
Pilares,183.64,0.831
Riachuelo,92.81,0.905
Rocha,131.16,0.839
Sampaio,88.43,0.839
Sao Francisco Xavier,64.89,0.8
Todos Os Santos,101.27,0.922
Alto Da Boa Vista,3149.57,0.926
Praca Da Bandeira,71.99,0.867
Tijuca,1006.56,0.926
Andarai,226.13,0.909
Grajau,573.91,0.938
Maracana,166.73,0.944
Vila Isabel,321.71,0.901
Cidade Universitaria,945.83,0.778
Bancarios,97.8,0.861
Cacuia,206.87,0.859
Cocota,49.01,0.861
Freguesia (Ilha Do Governador),405.64,0.839
Galeao,1895.74,0.778
Jardim Carioca,162.11,0.836
Jardim Guanabara,320.59,0.963
Monero,52.06,0.904
Pitangueiras,60.41,0.858
Portuguesa,118.64,0.904
Praia Da Bandeira,37.94,0.858
Ribeira,86.19,0.859
Taua,167.25,0.817
Zumbi,16.11,0.858
Bonsucesso,219.97,0.861
Manguinhos,261.84,0.726
Olaria,368.98,0.853
Ramos,279.35,0.857
Bras De Pina,352.22,0.835
Penha,585.13,0.84
Penha Circular,462.34,0.826
Del Castilho,144.09,0.86
Engenho Da Rainha,222.56,0.835
Inhauma,348.53,0.81
Higienopolis,115.75,0.882
Maria Da Graca,82.5,0.86
Tomas Coelho,174.75,0.802
Colegio,226.11,0.762
Iraja,747.78,0.798
Vicente De Carvalho,183.57,0.773
Vila Da Penha,143.57,0.909
Vila Kosmos,151.93,0.876
Vista Alegre,51.52,
Bento Ribeiro,303.78,0.851
Campinho,98.45,0.904
Cascadura,283.9,0.833
Cavalcanti,192.41,0.807
Engenheiro Leal,70.83,0.807
Honorio Gurgel,137.48,0.804
Madureira,378.76,0.831
Marechal Hermes,388.62,0.814
Oswaldo Cruz,207.11,0.855
Quintino Bocaiuva,432.38,0.85
Rocha Miranda,288.67,0.815
Turiacu,125.58,0.812
Vaz Lobo,110.12,0.807
Anchieta,434.57,0.788
Guadalupe,382.0,0.81
Parque Anchieta,390.58,0.833
Ricardo De Albuquerque,211.69,0.807
Acari,160.55,0.72
Barros Filho,172.39,0.75
Coelho Neto,251.2,0.806
Costa Barros,181.48,0.713
Parque Columbia,151.71,0.72
Pavuna,831.14,0.79
Jacarezinho,94.39,0.731
Complexo Do Alemao,296.09,0.711
Mare,426.88,0.722
Cordovil,385.68,0.791
Jardim America,197.4,0.839
Parada De Lucas,219.8,0.745
Vigario Geral,338.53,0.763
Bangu,4570.69,0.794
Gericino,,
Padre Miguel,486.58,0.804
Senador Camara,1723.59,0.768
Campo Grande,11912.53,0.81
Cosmos,1126.13,0.759
Inhoaiba,828.79,0.977
Santissimo,831.96,0.78
Senador Vasconcelos,644.18,0.802
Paciencia,2944.8,0.751
Santa Cruz,12504.43,0.742
Sepetiba,1162.13,0.761
Barra De Guaratiba,944.2,0.744
Guaratiba,13950.12,0.744
Pedra De Guaratiba,363.69,0.894
Campo Dos Afonsos,325.23,0.856
Deodoro,464.05,0.856
Jardim Sulacap,786.92,0.856
Magalhaes Bastos,197.59,0.802
Realengo,2605.42,0.845
Vila Militar,1075.67,0.856
Botafogo,479.9,0.952
Catete,68.1,0.901
Cosme Velho,89.25,0.878
Flamengo,164.63,0.959
Gloria,114.01,0.94
Humaita,105.45,0.959
Laranjeiras,249.35,0.957
Urca,231.9,0.952
Copacabana,409.99999999999994,0.956
Leme,97.72,0.955
Gavea,257.96,0.97
Ipanema,308.49,0.962
Jardim Botanico,268.92,0.957
Lagoa,510.99,0.959
Leblon,215.31,0.967
Sao Conrado,648.86,0.873
Vidigal,162.14,0.873
Rocinha,143.72,0.732
